Ordem,Threads,Tempo(s)
600,4,0.2060
600,8,0.1700
600,12,0.1870
1200,4,1.9490
1200,8,1.8450
1200,12,1.8430
1800,4,8.0650
1800,8,8.9760
1800,12,8.1850
